"All schools that appeared in the top 100 of USNWR, 2008-13",,,,,,,,,,,,,
,,,,,,,,,,,,,
2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,,Average
American University (DC),85,American University (DC),83,American University (DC),84,American University (DC),79,American University,82,American University,75,,81.33
Auburn University (AL),96,Auburn University (AL)*,96,Auburn University (AL)*,88,Auburn University (AL)*,85,Auburn University,82,Auburn University,91,,89.67
Baylor University (TX),75,Baylor University (TX),76,Baylor University (TX),80,Baylor University (TX),79,Baylor University,75,Baylor University,75,,76.67
Boston College,35,Boston College,34,Boston College,34,Boston College,31,Boston College,31,Boston College,31,,32.67
Boston University,57,Boston University,60,Boston University,56,Boston University 1,56,Boston University,53,Boston University,41,,53.83
Brandeis University (MA),31,Brandeis University (MA),31,Brandeis University (MA),31,Brandeis University (MA),34,Brandeis University,31,Brandeis University,32,,31.67
Brigham Young University Provo (UT),79,Brigham Young University  Provo (UT),113,Brigham Young University Provo (UT),71,Brigham Young University  Provo (UT),75,Brigham Young UniversityProvo,71,Brigham Young University—​Provo,62,,78.50
Brown University (RI),14,Brown University (RI),16,Brown University (RI),16,Brown University (RI),15,Brown University,15,Brown University,14,,15.00
California Institute of Technology,5,California Institute of Technology,6,California Institute of Technology,4,California Institute of Technology,7,California Institute of Technology,5,California Institute of Technology,10,,6.17
Carnegie Mellon University (PA),22,Carnegie Mellon University (PA),22,Carnegie Mellon University (PA),22,Carnegie Mellon University (PA),23,Carnegie Mellon University,23,Carnegie Mellon University,23,,22.50
Case Western Reserve University (OH),41,Case Western Reserve University (OH),41,Case Western Reserve University (OH),41,Case Western Reserve University (OH),41,Case Western Reserve University,38,Case Western Reserve University,37,,39.83
Clark University (MA),91,Clark University (MA),80,Clark University (MA),88,Clark University (MA),86,Clark University,94,Clark University,75,,85.67
Clemson University (SC),67,Clemson University (SC)*,61,Clemson University (SC)*,61,Clemson University (SC)*,64,Clemson University,68,Clemson University,62,,63.83
College of William and Mary,33,College of William and Mary (VA)*,32,College of William and Mary (VA)*,33,College of William and Mary (VA)*,31,College of William and Mary,33,College of William and Mary,32,,32.33
Colorado School of Mines,75,Colorado School of Mines*,80,Colorado School of Mines*,77,Colorado School of Mines*,72,Colorado School of Mines,75,Colorado School of Mines,91,,78.33
Columbia University (NY),9,Columbia University (NY),8,Columbia University (NY),8,Columbia University (NY),4,Columbia University,4,Columbia University,4,,6.17
Cornell University (NY),12,Cornell University (NY),14,Cornell University (NY),15,Cornell University (NY),15,Cornell University,15,Cornell University,16,,14.50
Dartmouth College (NH),11,Dartmouth College (NH),11,Dartmouth College (NH),11,Dartmouth College (NH),9,Dartmouth College,11,Dartmouth College,10,,10.50
Drexel University (PA),108,Drexel University (PA),89,Drexel University (PA),88,Drexel University (PA),86,Drexel University,88,Drexel University,97,,92.67
Duke University (NC),8,Duke University (NC),8,Duke University (NC),10,Duke University (NC),9,Duke University,10,Duke University,7,,8.67
Emory University (GA),17,Emory University (GA),18,Emory University (GA),17,Emory University (GA),20,Emory University,20,Emory University,20,,18.67
Fordham University (NY),67,Fordham University (NY),61,Fordham University (NY),61,Fordham University (NY),56,Fordham University,53,Fordham University,57,,59.17
George Washington University (DC),54,George Washington University (DC),53,George Washington University (DC),53,George Washington University (DC),51,George Washington University,50,George Washington University,52,,52.17
Georgetown University (DC),23,Georgetown University (DC),23,Georgetown University (DC),23,Georgetown University (DC),21,Georgetown University,22,Georgetown University,20,,22.00
Georgia Institute of Technology,35,Georgia Institute of Technology*,35,Georgia Institute of Technology*,35,Georgia Institute of Technology*,35,Georgia Institute of Technology,36,Georgia Institute of Technology,36,,35.33
Harvard University (MA),2,Harvard University (MA),1,Harvard University (MA),1,Harvard University (MA),1,Harvard University,1,Harvard University,2,,1.33
Howard University (DC),96,Howard University (DC),102,Howard University (DC),96,Howard University,104,Howard University,115,Howard University,142,,109.17
Illinois Inst. of Technology,90,Illinois Institute of Technology,102,Illinois Institute of Tech.,106,Illinois Inst. Of Tech.,111,Illinois Institute of Technology,111,Illinois Institute of Technology,109,,104.83
Indiana University Bloomington,75,Indiana University  Bloomington*,71,Indiana University Bloomington*,71,Indiana University  Bloomington*,75,Indiana UniversityBloomington,75,Indiana University—​Bloomington,75,,73.67
Iowa State University,85,Iowa State University*,89,Iowa State University*,88,Iowa State University*,94,Iowa State University,97,Iowa State University,101,,92.33
Johns Hopkins University (MD),14,Johns Hopkins University (MD),15,Johns Hopkins University (MD),14,Johns Hopkins University (MD),13,Johns Hopkins University,13,Johns Hopkins University,12,,13.50
